flag,start,end,n_samples,duration_minutes,max_intra_event_gap_minutes,continuity_gap_definition_minutes,continuity_gap_minutes
WTI,2020-01-21 21:15:00,2020-01-21 22:00:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-21 22:30:00,2020-01-21 22:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-21 23:30:00,2020-01-21 23:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-22 00:15:00,2020-01-22 03:30:00,14,195.0,15.0,15.0,15.0
WTI,2020-01-22 04:00:00,2020-01-22 04:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-22 04:30:00,2020-01-22 05:45:00,6,75.0,15.0,15.0,15.0
WTI,2020-01-22 06:15:00,2020-01-22 06:30:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-22 07:00:00,2020-01-22 09:15:00,10,135.0,15.0,15.0,15.0
WTI,2020-01-22 18:30:00,2020-01-22 18:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-22 19:15:00,2020-01-22 19:45:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-22 20:15:00,2020-01-22 21:00:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-22 21:45:00,2020-01-22 22:00:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-22 22:30:00,2020-01-22 23:30:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-23 00:00:00,2020-01-23 00:30:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-23 01:00:00,2020-01-23 01:45:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-23 02:15:00,2020-01-23 05:00:00,12,165.0,15.0,15.0,15.0
WTI,2020-01-23 05:30:00,2020-01-23 06:45:00,6,75.0,15.0,15.0,15.0
WTI,2020-01-23 07:15:00,2020-01-23 07:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-23 07:45:00,2020-01-23 08:45:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-23 09:15:00,2020-01-23 09:45:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-23 18:15:00,2020-01-23 20:30:00,10,135.0,15.0,15.0,15.0
WTI,2020-01-23 21:15:00,2020-01-23 21:30:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-23 22:00:00,2020-01-23 22:30:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-23 23:15:00,2020-01-23 23:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-23 23:45:00,2020-01-24 00:00:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-24 01:00:00,2020-01-24 01:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-24 01:30:00,2020-01-24 02:00:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-24 02:30:00,2020-01-24 09:30:00,29,420.0,15.0,15.0,15.0
WTI,2020-01-24 10:00:00,2020-01-24 10:15:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-24 10:45:00,2020-01-24 10:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-24 18:15:00,2020-01-24 18:30:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-24 19:00:00,2020-01-24 19:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-24 19:30:00,2020-01-24 20:45:00,6,75.0,15.0,15.0,15.0
WTI,2020-01-24 21:15:00,2020-01-24 22:30:00,6,75.0,15.0,15.0,15.0
WTI,2020-01-24 23:00:00,2020-01-25 00:15:00,6,75.0,15.0,15.0,15.0
WTI,2020-01-25 00:45:00,2020-01-25 01:15:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-25 02:00:00,2020-01-25 02:15:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-25 02:45:00,2020-01-25 02:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-25 03:15:00,2020-01-25 05:45:00,11,150.0,15.0,15.0,15.0
WTI,2020-01-25 07:00:00,2020-01-25 07:15:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-25 08:00:00,2020-01-25 08:15:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-25 09:00:00,2020-01-25 09:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-25 09:45:00,2020-01-25 10:15:00,3,30.0,15.0,15.0,15.0
