policy,filter_type,threshold,gap_policy,seed,events_detected_of_10,detection_rate,events_detected_in_zone_of_10,mean_lead_time_min,median_lead_time_min,false_alarm_episodes,false_alarm_rate_per_day,total_flagged_rows,data_anomaly_rows,normal_days
P1_preserve,F3_combined,rate>5;OTI>54,reset,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>60,reset,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>70,reset,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>80,reset,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>90,reset,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>100,reset,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>150,reset,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>200,reset,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>236,reset,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>10;OTI>45,reset,,10,1.0,10,15.4,3.0,70,0.239214,412,940,292.625
P1_preserve,F3_combined,rate>10;OTI>48,reset,,10,1.0,10,9.5,0.0,44,0.150363,198,940,292.625
P1_preserve,F3_combined,rate>10;OTI>50,reset,,10,1.0,10,6.4,0.0,19,0.06493,99,940,292.625
P1_preserve,F3_combined,rate>10;OTI>52,reset,,10,1.0,10,1.2,0.0,6,0.020504,66,940,292.625
P1_preserve,F3_combined,rate>10;OTI>54,reset,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>10;OTI>60,reset,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>10;OTI>70,reset,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>10;OTI>80,reset,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>10;OTI>90,reset,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>10;OTI>100,reset,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>10;OTI>150,reset,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>10;OTI>200,reset,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>10;OTI>236,reset,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>15;OTI>45,reset,,10,1.0,10,15.4,3.0,70,0.239214,408,940,292.625
P1_preserve,F3_combined,rate>15;OTI>48,reset,,10,1.0,10,9.5,0.0,44,0.150363,193,940,292.625
P1_preserve,F3_combined,rate>15;OTI>50,reset,,10,1.0,10,6.4,0.0,19,0.06493,93,940,292.625
P1_preserve,F3_combined,rate>15;OTI>52,reset,,10,1.0,10,1.2,0.0,6,0.020504,60,940,292.625
P1_preserve,F3_combined,rate>15;OTI>54,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>15;OTI>60,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
